time,ai_relevant_CON_VAL_MO,ai_relevant_tariff,not_ai_relevant_CON_VAL_MO,not_ai_relevant_tariff,months_in_quarter
2013-03-31,32823270471.0,0.4186257250672247,181267537919.0,2.4202263065769576,3
2013-06-30,35607791163.0,0.41751131745144354,187322536229.0,2.3184616034083176,3
2013-09-30,35756820949.0,0.4317119528611704,196867200701.0,2.6779717673779166,3
2013-12-31,34052449650.0,0.42705465978128243,197402521126.0,2.3991126795068225,3
2014-03-31,33035299279.0,0.4522928693277542,183851959157.0,2.4856659232537766,3
2014-06-30,37142031080.0,0.42701667730121345,197683878375.0,2.3155607643009954,3
2014-09-30,37371245855.0,0.42314214680868845,209145341254.0,2.6285392593677286,3
2014-12-31,38967502899.0,0.38200125470144,204234309718.0,2.4099735200202774,3
2015-03-31,37631618023.0,0.457247718912413,190131154290.0,2.542508229149404,3
2015-06-30,39227776037.0,0.47098410530776935,204509698710.0,2.359014743765841,3
2015-09-30,38859189048.0,0.46948579851897276,210279942689.0,2.758413571844399,3
2015-12-31,37819544297.0,0.4706071538099369,199761921864.0,2.4542986967946003,3
2016-03-31,35777947305.0,0.4847259025834713,186215261153.0,2.5161447214309134,3
2016-06-30,38404648953.0,0.4732119052107717,195290490205.0,2.341399121995204,3
2016-09-30,41916572397.0,0.5373134398177065,208902032690.0,2.771957317233513,3
2016-12-31,42197839614.0,0.5293811295635301,210281510837.0,2.637862924762661,3
2017-03-31,50502960337.0,0.452327765492667,250691287745.0,2.372142625893311,3
2017-06-30,54940553507.0,0.44345112389331576,266891201367.0,2.265579950193008,3
2017-09-30,56230836749.0,0.4082861598250765,274796120166.0,2.4786608864366144,3
2017-12-31,57885914683.0,0.3889924038224254,284023531333.0,2.262482414693286,3
2018-03-31,58168026085.0,0.4111281679913653,272748006901.0,2.2980601215814125,3
2018-06-30,63863858616.0,0.46174088504906197,281657345315.0,2.2745372444788217,3
2018-09-30,64112806963.0,1.1058013017728994,293232305228.0,2.7031187214645023,3
2018-12-31,72028669511.0,2.1626643384855346,304039120637.0,3.1851569639165347,3
2019-03-31,62603296903.0,1.9300945377879886,279170465672.0,3.0723453368728815,3
2019-06-30,65990741848.0,2.1002142182191643,292765677804.0,3.0777132024445564,3
2019-09-30,67560349532.0,2.7575176015298655,300599763519.0,3.8519623616630447,3
2019-12-31,68163086100.0,2.8987038191042234,285527146443.0,3.8646936105610803,3
2020-03-31,63359432159.0,2.2699723892580725,259124616219.0,3.5916739855908686,3
2020-06-30,61906609506.0,2.4335599752947,214033111065.0,3.4769144030897188,3
2020-09-30,70086834272.0,2.377709996905594,287975761528.0,3.7442298899699638,3
2020-12-31,73753845899.0,2.330561994494318,313996862531.0,3.5575761668310144,3
2021-03-31,71443030582.0,2.8253746594402833,298186146158.0,3.878402593148014,3
2021-06-30,80940022711.0,2.6875977546573684,318645008379.0,3.7209257801702926,3
2021-09-30,84720992884.0,2.7213875528545914,334150828460.0,3.9891902786635396,3
2021-12-31,88865733883.0,2.583870420766601,346099474607.0,3.853354790885968,3
2022-03-31,90546888626.0,2.5933095975268436,421010882219.0,3.5956853887509372,3
2022-06-30,100066534008.0,2.499720771581858,448598773580.0,3.4217130620983807,3
2022-09-30,102869216667.0,2.5359445794602435,451860709537.0,3.529657777579802,3
2022-12-31,100476568293.0,2.348849987708447,433505370787.0,2.9933162254581993,3
2023-03-31,91515951537.0,2.386857965539333,418536891175.0,2.803475312787641,3
2023-06-30,94676383988.0,2.2685265232269782,428645482339.0,2.7921281943045617,3
2023-09-30,95401664327.0,2.144604680047449,448034700885.0,2.858478767314778,3
2023-12-31,97420314071.0,2.019266979129548,447835051061.0,2.6343927506453757,3
2024-03-31,95775617786.0,2.0224055608056197,431358719120.0,2.773680811044782,3
2024-06-30,111364093445.0,1.8503691497454726,453660503779.0,2.6279434669075257,3
2024-09-30,130752688201.0,1.699394317296343,478543728388.0,2.9522702277575754,3
2024-12-31,128430118745.0,1.6759181421248945,476154895384.0,2.773975267302027,3
2025-03-31,135678386847.0,2.6347093579695233,510681637495.0,3.45467980002957,3
2025-06-30,157473649290.0,5.109149070511135,427566907840.0,10.282771945356547,3
2025-09-30,166536962728.0,5.658923273022741,432036342817.0,13.061728081265368,3
2025-12-31,194308000651.0,4.967851781017398,408102869568.0,12.951316033859229,3
2026-03-31,209490627150.0,3.6509614941023387,375483793222.0,11.141865293841073,3
2026-06-30,248459511417.0,2.851108028668252,413823200715.0,8.993912718932512,3
