time,CON_VAL_MO,tariff,months_in_quarter
2013-03-31,412108024800.0,1.7199319157737498,3
2013-06-30,438619766774.0,1.649838831301152,3
2013-09-30,448043104446.0,1.8700860686965102,3
2013-12-31,452954502936.0,1.697478750550447,3
2014-03-31,427286125060.0,1.7395493310147316,3
2014-06-30,470138375906.0,1.6187156662832376,3
2014-09-30,479532761750.0,1.811354708341781,3
2014-12-31,486713318892.0,1.6424581856930558,3
2015-03-31,453122538549.0,1.7402405698579662,3
2015-06-30,483424793318.0,1.6646328548371467,3
2015-09-30,485203746560.0,1.8863631416473785,3
2015-12-31,479969916661.0,1.6621727908490493,3
2016-03-31,444577428220.0,1.6927065213657329,3
2016-06-30,466885547298.0,1.6072391710190221,3
2016-09-30,478129963376.0,1.7766466000207164,3
2016-12-31,485100467727.0,1.6233611692643792,3
2017-03-31,462686063586.0,1.6232263078751723,3
2017-06-30,496510491281.0,1.5618105128037088,3
2017-09-30,503271158496.0,1.7184847677037585,3
2017-12-31,528799647915.0,1.5513261989385112,3
2018-03-31,508680945378.0,1.5782023354608643,3
2018-06-30,533612801096.0,1.6755562875620493,3
2018-09-30,549361731466.0,2.2551653934720344,3
2018-12-31,562530272499.0,2.890352636271482,3
2019-03-31,512511614018.0,2.698178901271558,3
2019-06-30,536336062929.0,2.7545202200874024,3
2019-09-30,545943109210.0,3.4222450544408805,3
2019-12-31,527352733529.0,3.4020544016035528,3
2020-03-31,480600355857.0,3.0646009819814575,3
2020-06-30,425795149337.0,3.1911834416520586,3
2020-09-30,523888940005.0,3.3238818135450248,3
2020-12-31,565651100542.0,3.1689659280825593,3
2021-03-31,541398226048.0,3.455043532104514,3
2021-06-30,590306676826.0,3.3344285576837387,3
2021-09-30,612386527863.0,3.565407453719264,3
2021-12-31,641832521118.0,3.42793878778153,3
2022-03-31,647493362867.0,3.492720540927818,3
2022-06-30,695094087637.0,3.301425087934883,3
2022-09-30,690799291653.0,3.405906893694167,3
2022-12-31,664338584187.0,2.953029890926497,3
2023-03-31,629435656948.0,2.787731668568249,3
2023-06-30,646345929818.0,2.7757368112539735,3
2023-09-30,661557194084.0,2.780913858169613,3
2023-12-31,660912131787.0,2.607664736823794,3
2024-03-31,649378377156.0,2.7141642324450084,3
2024-06-30,690721125845.0,2.5737892713577395,3
2024-09-30,729277387707.0,2.8011425053545396,3
2024-12-31,722848914460.0,2.6554275778831746,3
2025-03-31,768758846708.0,3.438974992900707,3
2025-06-30,702687823222.0,9.464889258652764,3
2025-09-30,707101942669.0,11.918240258102271,3
2025-12-31,705386152065.0,11.53733577144292,3
2026-03-31,224280688893.0,11.354888476443788,1
